🚀 Starting WebSocket server on port 5000...
✅ WebSocket server ready - waiting for connections...
🎯 Starting BPF monitoring - waiting for DASH traffic on port 8000...
🔍 Starting TCP metrics monitoring for DASH traffic...
✅ eBPF agent and WebSocket server are running in the background.
📡 DASH: 2.2kbps, RTT: 169.3ms (10.0.0.1:8000 → 10.0.0.2:57992)
📡 DASH: 2.2kbps, RTT: 187.6ms (10.0.0.1:8000 → 10.0.0.2:57992)
📡 DASH: 2.2kbps, RTT: 205.9ms (10.0.0.1:8000 → 10.0.0.2:57992)
📡 DASH: 8.9kbps, RTT: 229.0ms (10.0.0.1:8000 → 10.0.0.2:57992)
📡 DASH: 7960.6kbps, RTT: 284.3ms (10.0.0.1:8000 → 10.0.0.2:57992)
📡 DASH: 7960.6kbps, RTT: 448.1ms (10.0.0.1:8000 → 10.0.0.2:57992)
📡 DASH: 2196.1kbps, RTT: 754.8ms (10.0.0.1:8000 → 10.0.0.2:58006)
📡 DASH: 1519.9kbps, RTT: 1061.4ms (10.0.0.1:8000 → 10.0.0.2:58006)
📡 DASH: 6.3kbps, RTT: 1032.7ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 1519.9kbps, RTT: 971.7ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 53456.1kbps, RTT: 788.6ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 53456.1kbps, RTT: 469.5ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 12803.0kbps, RTT: 199.2ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 7334.5kbps, RTT: 383.5ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 7334.5kbps, RTT: 567.9ms (10.0.0.1:8000 → 10.0.0.2:58022)
📡 DASH: 3068.2kbps, RTT: 721.0ms (10.0.0.1:8000 → 10.0.0.2:57724)
📡 DASH: 3068.2kbps, RTT: 867.4ms (10.0.0.1:8000 → 10.0.0.2:57724)
📡 DASH: 260.1kbps, RTT: 962.1ms (10.0.0.1:8000 → 10.0.0.2:57730)
📡 DASH: 3.9kbps, RTT: 779.0ms (10.0.0.1:8000 → 10.0.0.2:57732)
📡 DASH: 3.9kbps, RTT: 596.0ms (10.0.0.1:8000 → 10.0.0.2:57732)
📡 DASH: 2.0kbps, RTT: 442.3ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 2.0kbps, RTT: 288.7ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 3.9kbps, RTT: 137.8ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 11126.2kbps, RTT: 144.3ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 11126.2kbps, RTT: 194.6ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 7592.9kbps, RTT: 380.5ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 7592.9kbps, RTT: 575.9ms (10.0.0.1:8000 → 10.0.0.2:57742)
📡 DASH: 2817.4kbps, RTT: 912.5ms (10.0.0.1:8000 → 10.0.0.2:57756)
📡 DASH: 2817.4kbps, RTT: 1241.0ms (10.0.0.1:8000 → 10.0.0.2:57756)
📡 DASH: 8.7kbps, RTT: 1212.7ms (10.0.0.1:8000 → 10.0.0.2:57760)
📡 DASH: 8.7kbps, RTT: 1050.6ms (10.0.0.1:8000 → 10.0.0.2:57760)
📡 DASH: 1.8kbps, RTT: 873.1ms (10.0.0.1:8000 → 10.0.0.2:57762)
📡 DASH: 1.8kbps, RTT: 544.7ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 1.8kbps, RTT: 216.2ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 1.8kbps, RTT: 200.6ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 21.7kbps, RTT: 189.3ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 9480.4kbps, RTT: 221.1ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 9480.4kbps, RTT: 396.7ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 10761.1kbps, RTT: 572.3ms (10.0.0.1:8000 → 10.0.0.2:57778)
📡 DASH: 2806.9kbps, RTT: 566.1ms (10.0.0.1:8000 → 10.0.0.2:57780)
📡 DASH: 2806.9kbps, RTT: 555.6ms (10.0.0.1:8000 → 10.0.0.2:57780)
📡 DASH: 9.0kbps, RTT: 510.4ms (10.0.0.1:8000 → 10.0.0.2:57784)
📡 DASH: 9.0kbps, RTT: 331.2ms (10.0.0.1:8000 → 10.0.0.2:57784)
📡 DASH: 9.0kbps, RTT: 162.7ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 9.0kbps, RTT: 175.9ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 9.0kbps, RTT: 189.1ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 3202.8kbps, RTT: 208.9ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 8833.5kbps, RTT: 256.5ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 9733.2kbps, RTT: 293.5ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 8833.5kbps, RTT: 505.5ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 2331.8kbps, RTT: 1039.7ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 2331.8kbps, RTT: 1564.7ms (10.0.0.1:8000 → 10.0.0.2:35406)
📡 DASH: 691.5kbps, RTT: 1980.0ms (10.0.0.1:8000 → 10.0.0.2:35414)
